user_id,master_id,rating
DarreLP,35929,4
SchusterBach,152403,5
SchusterBach,91540,5
SchusterBach,35564,5
SchusterBach,111605,5
SchusterBach,74349,5
SchusterBach,74349,5
SchusterBach,338291,5
SchusterBach,12635,5
SchusterBach,152403,5
SchusterBach,91540,5
SchusterBach,35564,5
SchusterBach,111605,5
SchusterBach,74349,5
SchusterBach,74349,5
SchusterBach,338291,5
SchusterBach,12635,5
SchusterBach,88488,5
SchusterBach,127988,5
SchusterBach,384044,5
SchusterBach,105960,5
SchusterBach,115701,5
SchusterBach,214790,5
SchusterBach,737840,5
SchusterBach,333947,5
SchusterBach,58518,5
SchusterBach,62657,5
SchusterBach,87033,5
SchusterBach,44784,5
SchusterBach,103737,5
SchusterBach,61473,5
SchusterBach,135184,5
SchusterBach,34019,5
SchusterBach,478965,5
SchusterBach,338321,5
SchusterBach,364564,5
SchusterBach,478972,5
SchusterBach,475202,5
SchusterBach,255408,5
SchusterBach,548724,5
SchusterBach,338279,5
SchusterBach,338300,5
SchusterBach,933215,5
SchusterBach,69485,5
SchusterBach,39438,5
SchusterBach,1309328,5
SchusterBach,36695,5
SchusterBach,44316,5
SchusterBach,53704,4
SchusterBach,39519,4
SchusterBach,55305,4
SchusterBach,207275,4
SchusterBach,131147,4
SchusterBach,109798,4
SchusterBach,65279,4
SchusterBach,132413,4
SchusterBach,369197,4
SchusterBach,50283,4
SchusterBach,78879,4
SchusterBach,69034,4
SchusterBach,59158,4
SchusterBach,120690,4
SchusterBach,63864,4
SchusterBach,64027,4
SchusterBach,55650,4
SchusterBach,118980,4
SchusterBach,63589,4
SchusterBach,89130,4
SchusterBach,94329,4
SchusterBach,219751,4
SchusterBach,14270,3
SchusterBach,188819,3
SchusterBach,38806,3
SchusterBach,32911,3
SchusterBach,90059,3
SchusterBach,35734,3
SchusterBach,80639,3
SchusterBach,80959,3
SchusterBach,106504,3
SchusterBach,644,3
SchusterBach,1225128,3
SchusterBach,1168321,3
SchusterBach,32369,3
SchusterBach,181835,3
SchusterBach,69320,3
SchusterBach,63845,3
SchusterBach,106607,3
SchusterBach,183720,3
SchusterBach,636215,3
SchusterBach,291807,3
SchusterBach,2565,3
SchusterBach,301224,3
SchusterBach,2556,3
SchusterBach,226702,3
SchusterBach,167682,3
SchusterBach,446260,3
SchusterBach,80227,3
SchusterBach,14112,3
SchusterBach,249257,3
SchusterBach,42751,3
SchusterBach,388311,3
SchusterBach,140446,3
SchusterBach,99142,3
SchusterBach,71215,3
SchusterBach,157822,3
SchusterBach,78987,3
SchusterBach,1949,3
SchusterBach,50089,3
SchusterBach,98900,3
SchusterBach,32728,3
SchusterBach,39329,3
SchusterBach,809481,3
SchusterBach,101318,3
SchusterBach,190120,3
SchusterBach,38743,3
SchusterBach,70770,3
SchusterBach,580465,3
